Age_Ma,CO2_xPAL,CO2_ppm,DeltaT_K,T_C,F_sil_total,F_degas,F_prec,Fw_D,Fw_C,F_vsw_Mg,WI_mult,F_sil_blag,pH,Dolomite,Calcite,M_Mg,M_Ca,M_HCO3
404,771.208417886873,215938.357008324,19.158348318587,34.158348318587,3.30771551848938,7.19481613191505,84.0659641199062,5.09396545329373,71.2851723261309,6.40829084380298,0.406994331095833,37.9043796431485,6.28788627850185,389.835679481027,4138.55705023807,67.6932259461137,41.0118379619345,42.2101278160994
403,829.699515566179,232315.86435853,19.3688309880278,34.3688309880278,3.17726433385571,7.12985295938035,85.3030983786882,5.10181527935927,72.6153750399031,6.40063182931996,0.390943104098268,38.5459043229001,6.27040533088417,383.949133863448,4145.7057151751,68.0919089779563,41.3168628929733,43.6175437418622
402,889.714202252737,249119.976630766,19.5703178272253,34.5703178272253,3.04741915325664,7.06504475461445,86.4925015292829,5.10456891820615,73.9089065731456,6.38764924221823,0.374966442221351,39.1665253321687,6.25345130358654,378.074416761012,4152.78721785167,68.439099027729,41.6532347234717,44.9846675024045
401,942.877377644493,264005.665740458,19.7375570700125,34.7375570700125,3.89672435193285,7.00109769878444,88.5059012309909,5.09218412638578,75.0246681809268,6.39216418501067,0.479468295327903,39.6867825222594,6.24035094698432,372.220467300845,4160.29985597895,68.9802075958779,41.7477692285762,46.2559536489112
400,980.758596736692,274612.407086274,19.8510845818579,34.8510845818578,4.74654437807826,6.93869268570992,90.1777677972026,5.05752156286933,75.8491523724936,6.43266944571209,0.584033494831774,40.0425775658686,6.23374631181676,366.407252797253,4168.71047206554,69.9202615273602,41.3738882323546,47.3882995194325
399,1009.08802939454,282544.64823047,19.9331384986297,34.9331384986297,4.96528981486843,6.9175214878422,90.7598382973942,4.99670520321031,76.2944382012013,6.52468923218276,0.610948793994908,40.1921993718606,6.23068043006058,360.658205585124,4177.62467491781,71.0234820920508,40.783554055569,48.4140722952426
398,1033.77507809704,289457.02186717,20.0027899834388,35.0027899834388,5.18394407509319,6.89685474366472,91.2608433226689,4.9315327257377,76.6684123875613,6.61292288603938,0.637852874434713,40.3024267959056,6.22860072710165,354.984565591691,4186.66667957624,72.0885755340347,40.192204438484,49.3615599450404
397,1054.84884116997,295357.675527592,20.060955577655,35.060955577655,5.40259833531795,6.87668383822223,91.6872340730423,4.86262592945704,76.9757577760341,6.69739063392987,0.664756954874519,40.3760563962461,6.22743422547166,349.389470224955,4195.82661021266,73.1156290894345,39.600752447104,50.2327630730799
396,1072.21642434411,300220.598816351,20.1080113274432,35.1080113274432,5.62125259554271,6.85702242032632,92.0414484329466,4.79040585311536,77.2181321729495,6.77803816477002,0.691661035314324,40.4142252675991,6.22715367849357,343.878298322002,4205.09964048858,74.1039575341615,39.0094722300821,51.0268595284902
395,1086.030930218,304088.660461041,20.1449134896941,35.1449134896941,5.84240799272464,6.83785005296866,92.3325075154,4.71542951954837,77.4007276358064,6.85509763568601,0.718872865485681,40.419988536332,6.22768768410859,338.450361375293,4214.47469544519,75.0558135300471,38.4181267910652,51.7478806422277
394,1046.8053253858,293105.491108025,20.0388943867135,35.0388943867134,9.73384447560046,6.82295939758178,95.5070922787375,4.59054894569455,76.777704313959,7.05610113445612,1.19769052060049,39.9775598029182,6.24772158526162,333.130857949108,4226.78546032987,77.3695350145222,36.3472304233247,52.2335308756971
